plot_id,Waldges,WG_Nr,Stadium,Boxplot,Hoehe,Hydro,B123,Vegtyp1,Vegtyp2,Stoerung,Konifer_prozent,Laubb_prozent,Exposit,Neig,Wachstum,Reife,Verjuengung,Plenter,Mortal
967AMS,Abietetum,4,5,4,1047,2,1,5,3,1,0,0,"-0,38268343",6,0,0,0,0,1
968AMS,Abietetum,4,5,5,741,2,0,5,3,0,0,0,"0,92387953",0,0,0,0,0,1
969AMS,Abietetum,4,5,1,1052,2,0,2,1,1,0,0,"0,38268343",7,0,0,0,0,1
970AMS,Abietetum,4,5,3,784,2,0,4,4,1,0,0,"0,92387953",0,0,0,0,0,1
971AMS,Abietetum,4,5,5,728,2,0,5,3,1,0,0,"0,92387953",1,0,0,0,0,1
972PtJS,Bazzanio-Piceetum,5,0,2,813,3,0,3,3,1,0,0,"0,92387953",5,0,0,0,0,0
973PtJS,Bazzanio-Piceetum,5,0,2,806,3,0,3,3,1,0,0,"0,92387953",1,0,0,0,0,0
974PtJS,Bazzanio-Piceetum,5,0,3,821,2,"14,5",4,4,1,"13,6",0,"0,92387953",3,0,0,0,0,0
975PtJS,Bazzanio-Piceetum,5,0,2,1137,3,1,3,3,1,10,0,"0,38268343",7,0,0,0,0,0
976PtJS,Bazzanio-Piceetum,5,0,4,1100,2,10,5,3,1,10,0,"0,92387953",9,0,0,0,0,0
977PtPS,Bazzanio-Piceetum,5,4,3,749,3,"34,165",4,4,1,"31,743",0,"-0,38268343",4,0,0,0,1,0
978PtPS,Bazzanio-Piceetum,5,4,5,741,3,"62,38",5,3,0,"61,792",0,"-0,38268343",2,0,0,0,1,0
979PtPS,Bazzanio-Piceetum,5,4,1,1117,3,"33,5",1,1,0,"32,8",0,"-0,38268343",2,0,0,0,1,0
980PtPS,Bazzanio-Piceetum,5,4,4,987,2,"56,8",5,3,0,"398,224","7,84","0,38268343",8,0,0,0,1,0
981PtPS,Bazzanio-Piceetum,5,4,3,724,3,"46,8",4,4,0,"20,4","11,8","-0,38268343",3,0,0,0,1,0
982PtRS,Bazzanio-Piceetum,5,2,1,1125,2,"67,6",1,1,0,"67,6",0,"0,38268343",7,0,1,0,0,0
983PtRS,Bazzanio-Piceetum,5,2,1,782,3,70,1,1,0,70,0,"0,92387953",1,0,1,0,0,0
984PtRS,Bazzanio-Piceetum,5,2,2,869,3,60,3,3,0,50,0,"-0,38268343",5,0,1,0,0,0
985PtRS,Bazzanio-Piceetum,5,2,1,836,2,"70,3",1,1,0,"60,2",0,"-0,92387953",6,0,1,0,0,0
986PtRS,Bazzanio-Piceetum,5,2,2,1075,2,"40,15",3,3,0,"38,26",0,"0,38268343",6,0,1,0,0,0
987PtVS,Bazzanio-Piceetum,5,3,1,756,3,"69,6",2,2,0,"69,28",0,"-0,38268343",4,0,0,1,0,0
988PtVS,Bazzanio-Piceetum,5,3,1,688,3,"33,5",2,1,1,"21,6",0,"-0,92387953",1,0,0,1,0,0
