name,B2,B3,MB2,MB3,MB4,MB5,K1,K2,K3,K4,K5a,K5b,K5c,B6,B7,B8,B9,B10,MB6,MB7,MB8,MB9,MB10,K6,K7,K8,K9,K10a,K10b,B1,B4,B5,MB1
Polygala vulgaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0
Polygonatum odoratum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Potentilla alba,0,0,0,0,0.1,0.5,0,0,0,0,0.5,0.5,0.1,2,2,2,0.5,0.1,2,2,2,0.5,0,0.5,2,0,2,2,2,0,0,0,0
Potentilla erecta,0,0.5,2,0.5,4,2,0.5,2,0,2,0,0.5,4,0,2,2,2,0,2,0.5,0.5,2,2,0.5,0.5,0.5,2,4,0.5,0,2,0.5,2
Potentilla tabernaemontani,0.1,0,0.5,0.1,0.1,0,0.5,0.5,0,0,0.5,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,2,0,0.1,0
Prunella grandiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,2,0.5,0.5,2,2,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0
Pruspe,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus bulbosus,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhamnus cathartica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0
Rubus caesius,0,0.1,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2,0
Rubus fruticosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus idaeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,2,0.5,0,0,0,0,0,0,0,0
Salvia pratensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanguisorba minor,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.1,0.5,0,0,0
Scabiosa columbaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
Senecio jacobaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Stachys officinalis,0,0,2,0.5,0,0.1,0,0,0.1,0.1,4,2,0.1,0.5,2,2,2,0.1,2,0.5,2,0,0.1,0,2,0,2,2,0.5,0,0,0,0
Taraxacum officinale,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1
Teucrium chamaedrys,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Thymus praecox,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.1,0.5,0,0,0,0
Tragopogon pratensis,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Trifolium montanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0.5,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Trifolium pratense,2,0.1,0,0,0,2,2,0.5,0.5,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
Valwal,0,2,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica chamaedrys,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica officinale,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.1,0,0,4,0.5,0,0,0,0.1,0,0
Viccia cracca,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Viola canina,2,0.5,0.5,2,2,2,0,2,0.1,0,0.1,0.5,2,2,0.5,0,0.1,0,0.1,2,0.1,0.5,0.5,0,0.5,0.5,0.1,0.1,0,0.5,0.5,0.5,4
Viola hirta,0.5,2,2,0.5,4,0.5,0,0,0.1,0.1,0.5,2,4,0.5,0.5,0.1,2,0.5,2,0.1,2,2,2,0.5,0.5,0.5,0.5,0.5,0.5,2,2,0.5,0.5
