SPECIES_NR;LETTERCODE;ABBREVIAT;RANG;GRUPPE;GATT_NAME;FAMILY;Z_OEK_L;OEK_L;Z_OEK_T;OEK_T;Z_OEK_K;OEK_K;Z_OEK_F;OEK_F;WASSERREGI;Z_OEK_R;OEK_R;Z_OEK_N;OEK_N;Z_OEK_S;OEK_S;Z_OEK_TO;OEK_TO;Z_OEK_SU;OEK_SU;Z_OEK_SON;OEK_SON;Z_LF_LEB;LF_LEB;Z_LF_B;LF_B;WUCHS_1;WUCHS_2;WUCHS_3;Z_SZ_V_GR;SZ_VERH_GR;Z_SZ_V_K;SZ_VERH_K;Z_SZ_O;SZ_O;Z_SZ_V;SZ_V;Z_SZ_U;SZ_U;Arealforme;Vorkommen;HEMEROBIE;Gilde;Mahdvertra;Weidevertr;Trittvertr;Futterwert;FutterDamw;Waldart_D
2221;ERYSCHE;Erysimum cheiranthoides;SPE;S;Erysimum;Brassicaceae;;7;;5;;0;;5;;;7;;7;;0;;;;;;;;T;;W;;;;;3;;3;;0;;0;;0;;;bc;;0;0;0;0;0;
2222;ERYSRHE;Erysimum cheiri;SPE;S;Erysimum;Brassicaceae;!;8;;8;;4;!;5;;;9;!;6;;0;;;;;;;;C;;W;;;;;4;;1;;1;;1;;0;;;mb;;0;0;0;0;0;
2223;ERYSCRE;Erysimum crepidifolium;SPE;S;Erysimum;Brassicaceae;;9;;7;;5;;2;;;7;;1;;0;;;;;;;;H;;W;;;;;5;;2;;1;;3;;0;;;om;;0;0;0;0;0;
2229;ERYSMAR;Erysimum marschallianum;SPE;S;Erysimum;Brassicaceae;;9;;6;!;7;!;4;;!;7;!;5;;0;;;;;;;;H;!;S;;;;;0;;0;;0;;0;;0;sm-stemp.c3-7EUR;;mb;;0;0;0;0;0;
2234;ERYSODO;Erysimum odoratum;SPE;S;Erysimum;Brassicaceae;;9;;7;;5;;2;;;8;;2;;0;;;;;;;;H;;S;;;;;5;;3;;1;;1;;0;;GE;omb;K;3;4;3;2;0;
2235;ERYSREP;Erysimum repandum;SPE;S;Erysimum;Brassicaceae;;7;!;7;;6;!;4;;;8;!;5;;2;;;;;;;;T;;S;;;;;3;;3;;3;;1;;0;;;cp;;0;0;0;0;0;
2245;ENYMEUR;Euonymus europaeus;SPE;S;Euonymus;Celastraceae;;6;;5;;3;;5;;;8;;5;;0;;;;;;;;N;;S;;;;;8;;4;;4;;0;;0;;;om;;0;0;0;0;0;S2.1
2246;ENYMLAT;Euonymus latifolius;SPE;S;Euonymus;Celastraceae;;4;!;6;;4;;5;;;8;;5;;0;;;;;;;;N;;S;;;;;8;;4;;0;;0;;0;;;;;0;0;0;0;0;S1.1
2248;EPTRCAN;Eupatorium cannabinum;SPE;S;Eupatorium;Asteraceae;;7;;5;;3;;7;;;7;;8;;0;;;;;;;;H;;S;;;;!;3;!;5;!;2;!;1;;0;;W;mb;K;4;7;1;1;0;K2.1
2249;EPHRAMY;Euphorbia amygdaloides;SPE;S;Euphorbia;Euphorbiaceae;;4;;5;;3;;5;;!;8;;5;;0;;;;;;;;C;;I;;;;;8;;4;;3;;0;;0;;;om;;0;0;0;0;0;K1.1
2255;EPHRCYP;Euphorbia cyparissias;SPE;S;Euphorbia;Euphorbiaceae;;8;;0;;4;;3;;x;0;;3;;0;;;;;;;;H,G;;W;;;;!;5;!;3;;0;;0;;0;;GE;omb;K;4;8;7;1;0;K2.1
2257;EPHRDUL;Euphorbia dulcis;SPE;S;Euphorbia;Euphorbiaceae;;4;;5;;2;;5;;;8;;5;;0;;;;;;;;G,H;;S;;;;;8;;4;;3;;0;;0;;;om;;0;0;0;0;0;K1.1
2258;EPHRD-D;Euphorbia dulcis subsp. dulcis;SSP;S;Euphorbia;Euphorbiaceae;;4;;5;;2;;5;;;8;;5;;0;;;;;;;;G,H;;S;;;;;8;;4;;3;;0;;0;;;;;0;0;0;0;0;
2259;EPHRD-P;Euphorbia dulcis subsp. incompta;SSP;S;Euphorbia;Euphorbiaceae;;4;;5;;2;;5;;;8;;5;;0;;;;;;;;G,H;;S;;;;;8;;4;;3;;0;;0;;;;;0;0;0;0;0;
2264;EPHRESU;Euphorbia esula s. str.;SPE;S;Euphorbia;Euphorbiaceae;;8;;6;;5;;4;;;8;x;0;;0;;;;;;;;H;;S;;;;;0;;0;;0;;0;;0;;;mbcp;;0;0;0;0;0;
2266;EPHREXI;Euphorbia exigua;SPE;S;Euphorbia;Euphorbiaceae;;6;;6;;4;;4;;;8;;4;;0;;;;;;;;T;;W;;;;;3;;4;;1;;1;;0;;A;c;K;3;7;3;1;0;
2269;EPHRFAL;Euphorbia falcata;SPE;S;Euphorbia;Euphorbiaceae;;7;!;7;;3;;4;;;8;!;5;;0;;;;;;;;T;!;S;;;;;3;;4;;0;;0;;0;;;bc;;0;0;0;0;0;
2271;EPHRHEL;Euphorbia helioscopia;SPE;S;Euphorbia;Euphorbiaceae;;6;;0;;3;;5;;;7;;7;;0;;;;;;;;T;;W;;;;;3;;3;;1;;1;;0;;A;cp;K;3;4;3;1;0;
2273;EPHRLAT;Euphorbia lathyris;SPE;S;Euphorbia;Euphorbiaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;cp;;0;0;0;0;0;
2274;EPHRLUC;Euphorbia lucida;SPE;S;Euphorbia;Euphorbiaceae;;7;!;6;;6;;7;~;;7;;5;;0;;;;;;;;H;;S;;;;;5;;4;;1;;2;;0;;;omb;;0;0;0;0;0;
2281;EPHRPAL;Euphorbia palustris;SPE;S;Euphorbia;Euphorbiaceae;;8;;6;;6;;8;~;;8;x;0;!;1;;;;;;;;H;;S;;;;!;5;!;4;!;1;!;2;;0;sm-temp.c2-7EUR;GE;om;K;3;7;2;1;0;
2286;EPHRPEP;Euphorbia peplus;SPE;S;Euphorbia;Euphorbiaceae;;6;;6;;3;;4;;x;0;;7;;0;;;;;;;;T;;S;;;;!;3;!;3;!;1;!;1;;0;;;cp;;0;0;0;0;0;
2292;EPHRSAL;Euphorbia salicifolia;SPE;S;Euphorbia;Euphorbiaceae;!;7;!;7;;6;;4;;;8;!;3;;0;;;;;;;;H;;S;;;;;6;;1;;1;;0;;0;;;;;0;0;0;0;0;
2301;EPHRIEG;Euphorbia seguieriana;SPE;S;Euphorbia;Euphorbiaceae;;9;;7;;6;;2;;;8;;1;;0;;;;;;;;H;;W;;;;;5;;3;;1;;0;;0;;GE;;K;3;7;2;1;0;K2.2
2304;EPHRSTR;Euphorbia stricta;SPE;S;Euphorbia;Euphorbiaceae;;5;;6;;4;;6;;;8;;7;;0;;;;;;;;T;;S;;;;;3;;5;;3;;2;;0;;;cp;;0;0;0;0;0;K1.2
2309;EPHRVER;Euphorbia verrucosa;SPE;S;Euphorbia;Euphorbiaceae;;8;;6;;2;;3;;;9;;3;;0;;;;;;;;H;;S;;;;;5;;3;;2;;2;;0;;GE;om;K;4;7;2;1;0;K2.2
2312;EPHRILL;Euphorbia villosa;SPE;S;Euphorbia;Euphorbiaceae;!;8;!;7;;0;!;7;;y;0;!;3;;0;;;;;;;;G;;S;;;;;5;;4;;1;;0;;0;;;;;0;0;0;0;0;
2317;EPHAHIR;Euphrasia hirtella;SPE;S;Euphrasia;Scrophulariaceae;!;8;!;3;!;3;!;5;;!;4;!;2;;0;;;;;;;;Thp;;S;;;;!;5;!;1;!;1;;0;;0;;;;;0;0;0;0;0;
2321;EPHAFRI;Euphrasia frigida;SPE;S;Euphrasia;Scrophulariaceae;!;7;;3;!;3;;5;;!;3;!;2;;0;;;;;;;;Thp;;S;;;;;5;;1;;1;;0;;0;;;;;0;0;0;0;0;
2322;EPHAMIN;Euphrasia minima;SPE;S;Euphrasia;Scrophulariaceae;;7;;2;;0;;5;;;2;;3;;0;;;;;;;;Thp;;S;;;;;4;;6;;1;;1;;0;;;;;0;0;0;0;0;
2327;EPHAMIC;Euphrasia micrantha;SPE;S;Euphrasia;Scrophulariaceae;!;7;!;5;!;2;;5;;;2;!;1;;0;;;;;;;;Thp;;S;;;;!;5;!;1;!;2;!;1;;0;temp-b.c1-3EUR;;om;;0;0;0;0;0;
2328;EPHANEM;Euphrasia nemorosa s. str.;SPE;S;Euphrasia;Scrophulariaceae;;8;;5;!;3;;5;;!;4;!;1;;0;;;;;;;;Thp;;S;;;;;5;;1;;1;;0;;0;(sm/mo)-temp-(b).c1-4EUR, (N) OAM;;om;;0;0;0;0;0;
2341;EPHASAL;Euphrasia salisburgensis;SPE;S;Euphrasia;Scrophulariaceae;;7;;3;;2;;5;;;8;;4;;0;;;;;;;;Thp;;S;;;;;4;;7;;1;;0;;0;;;;;0;0;0;0;0;K2.2
2348;EPHASTR;Euphrasia stricta;SPE;S;Euphrasia;Scrophulariaceae;;8;;0;;4;;4;;x;0;;2;;0;;;;;;;;Thp;;S;;;;;0;;0;;0;;0;;0;;N;om;K;5;6;5;1;0;
