"Plot" "Species" "Height" "SLA"
"1047" 18 "Tri_che" 9 23.36185819
"1048" 18 "Tri_che" 10 23.64955357
"1049" 18 "Tri_che" 7.5 24.01904762
"1050" 18 "Tri_che" 9 22.10892236
"1051" 18 "Tri_che" 9 21.39534884
"1052" 18 "Tri_che" 5 22.19858156
"1053" 18 "Tri_che" 8 27.09631728
"1054" 18 "Vul_cil" 12 31.6064257
"1055" 18 "Vul_cil" 9 51.04575163
"1056" 18 "Vul_cil" 9 65.19230769
"1057" 18 "Vul_cil" 10 57.28571429
"1058" 18 "Vul_cil" 11 38.36363636
"1059" 18 "Vul_cil" 13 38.81355932
"1060" 18 "Vul_cil" 12 39.58677686
"1061" 18 "Vul_cil" 13 40.97560976
"1062" 18 "Vul_cil" 18 40.3236246
"1063" 18 "Vul_cil" 14 41.2345679
"1324" 23 "Bis_pel" 13.3 51.25867195
"1325" 23 "Bis_pel" 20 36.79634776
"1326" 23 "Bis_pel" 13 52.7896679
"1327" 23 "Bis_pel" 17.1 33.25497288
"1328" 23 "Bis_pel" 10 39.2469352
"1329" 23 "Bis_pel" 8.7 39.99031946
"1330" 23 "Bis_pel" 10 56.57608696
"1331" 23 "Bis_pel" 7 53.03231152
"1332" 23 "Bis_pel" 12 52.12044105
"1333" 23 "Bis_pel" 13 50.25732666
"1334" 23 "Cre_tar" 23 32.31192661
"1335" 23 "Cre_tar" 20 34.28399519
"1336" 23 "Cre_tar" 17 29.50943396
"1337" 23 "Cre_tar" 32 30.05769231
"1338" 23 "Cre_tar" 25 31.90518784
"1339" 23 "Cre_tar" 27 26.6977887
"1340" 23 "Cre_tar" 17 29.20303605
"1341" 23 "Cre_tar" 19 31.59277504
"1342" 23 "Cre_tar" 28 30.64545047
"1343" 23 "Cre_tar" 24 32.42057489
"1344" 23 "Ery_cam" 22 14.39885354
"1345" 23 "Ery_cam" 17 8.460213441
"1346" 23 "Ery_cam" 18 8.569668814
"1347" 23 "Ery_cam" 30 8.31745252
"1348" 23 "Ery_cam" 26 9.087504588
"1349" 23 "Ery_cam" 21 6.885836395
"1350" 23 "Ery_cam" 20 11.12672802
"1351" 23 "Ery_cam" 30 7.674452515
"1352" 23 "Ery_cam" 27 7.819180334
"1353" 23 "Ery_cam" 25 9.400590043
"1354" 23 "Pla_lag" 23 21.79179494
"1355" 23 "Pla_lag" 25 23.97448243
"1356" 23 "Pla_lag" 22 24.75558015
"1357" 23 "Pla_lag" 21 25.48161492
"1358" 23 "Pla_lag" 14 25.46389168
"1359" 23 "Pla_lag" 17 24.38612454
"1360" 23 "Pla_lag" 12 32.03472932
"1361" 23 "Pla_lag" 14 29.85111663
"1362" 23 "Pla_lag" 13 28.37511606
"1363" 23 "Pla_lag" 18 27.17673304
"1364" 23 "Tri_che" 17 23.05107527
"1365" 23 "Tri_che" 12 25.07671781
"1366" 23 "Tri_che" 15 25.7994186
"1367" 23 "Tri_che" 15 26.55629139
"1368" 23 "Tri_che" 16 24.75830816
"1369" 23 "Tri_che" 20 28.18181818
"1370" 23 "Tri_che" 13 26.32352941
"1371" 23 "Tri_che" 15 26.89655172
"1372" 23 "Tri_che" 10 28.88454012
"1373" 23 "Tri_che" 11 26.8921095
"1374" 23 "Tri_glo" 15 31.01123596
"1375" 23 "Tri_glo" 12 35.33123028
"1376" 23 "Tri_glo" 11 31.30699088
"1377" 23 "Tri_glo" 10 42.34615385
"1378" 23 "Tri_glo" 9 37.82905983
"1379" 23 "Tri_glo" 7 50.625
"1380" 23 "Tri_glo" 6 35.70552147
"1381" 23 "Tri_glo" 9 37.20710059
"1382" 23 "Tri_glo" 7 38.78734622
"1607" 27 "Bro_hor" 11 30.58511
"1608" 27 "Bro_hor" 9 24.34426
"1609" 27 "Bro_hor" 6 18.88889
"1610" 27 "Bro_hor" 9 27.01754
"1611" 27 "Bro_hor" 10 29.56311
"1612" 27 "Bro_hor" 10 23.01205
"1613" 27 "Bro_hor" 10 25.45455
"1614" 27 "Bro_hor" 12 30.12579
"1615" 27 "Bro_hor" 8 36.5
"1616" 27 "Bro_hor" 10 22.56039
"1617" 27 "Bro_rub" 12 37.16738
"1618" 27 "Bro_rub" 14 27.07415
"1619" 27 "Bro_rub" 11 32.24607
"1620" 27 "Bro_rub" 11.5 28.30156
"1621" 27 "Bro_rub" 9 29.96337
