name,nomenclature,nameTraits,layer,lifeform,lifeformEllenberg,legal,rlg,rlb,neophyte,continuity
Crataegus_monogyna,http://www.worldfloraonline.org/taxon/wfo-0001009785,Crataegus_monogyna,shrub,wood,N.P,NA,NA,NA,no,7
Daphne_mezereum,http://www.worldfloraonline.org/taxon/wfo-0000637755,Daphne_mezereum,shrub,wood,N.Z,BG,NA,NA,no,1
Fraxinus_excelsior,http://www.worldfloraonline.org/taxon/wfo-0000832453,Fraxinus_excelsior,shrub,wood,P,NA,NA,NA,no,10
Ligustrum_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000815984,Ligustrum_vulgare,shrub,wood,N,NA,NA,NA,no,5
Lonicera_xylosteum,http://www.worldfloraonline.org/taxon/wfo-0000361644,Lonicera_xylosteum,shrub,wood,N,NA,NA,NA,no,15
Picea_abies,http://www.worldfloraonline.org/taxon/wfo-0000482030,Picea_abies,shrub,wood,P,NA,NA,NA,no,3
Prunus_padus,http://www.worldfloraonline.org/taxon/wfo-0001008273,Prunus_padus,shrub,wood,P.N,NA,NA,NA,no,6
Salix_daphnoides,http://www.worldfloraonline.org/taxon/wfo-0000929163,Salix_daphnoides,shrub,wood,P.N,NA,2,3,no,1
Salix_eleagnos,http://www.worldfloraonline.org/taxon/wfo-0000928552,Salix_eleagnos,shrub,wood,N,NA,NA,NA,no,3
Salix_purpurea,http://www.worldfloraonline.org/taxon/wfo-0000930408,Salix_purpurea,shrub,wood,N.P,NA,NA,NA,no,3
Sambucus_nigra,http://www.worldfloraonline.org/taxon/wfo-0000439308,Sambucus_nigra,shrub,wood,N,NA,NA,NA,no,1
Shrub_1,NA,Shrub_1,shrub,wood,NA,NA,NA,NA,NA,1
Shrub_2,NA,Shrub_2,shrub,wood,NA,NA,NA,NA,NA,1
Ulmus_glabra,http://www.worldfloraonline.org/taxon/wfo-0000416717,Ulmus_glabra,shrub,wood,P,NA,NA,NA,no,4
Viburnum_lantana,http://www.worldfloraonline.org/taxon/wfo-0000421166,Viburnum_lantana,shrub,wood,N,NA,NA,NA,no,9
Acer_pseudoplatanus,http://www.worldfloraonline.org/taxon/wfo-0000514908,Acer_pseudoplatanus,herb,wood,P,NA,NA,NA,no,10
