name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology
Cerastium fontanum ssp vulgare,http://www.worldfloraonline.org/taxon/wfo-0000595577,Cerastium_holosteoides,Caryophyllaceae,herb,NA,NA,NA,no,5400
Cerastium glomeratum,http://www.worldfloraonline.org/taxon/wfo-0000595603,na,Caryophyllaceae,herb,NA,NA,NA,no,3000
Chaerophyllum bulbosum,http://www.worldfloraonline.org/taxon/wfo-0000598957,na,Apiaceae,herb,NA,NA,NA,no,3531
Chenopodium album,http://www.worldfloraonline.org/taxon/wfo-0000600897,na,Amaranthaceae,herb,NA,NA,NA,no,3300
Cichorium intybus,http://www.worldfloraonline.org/taxon/wfo-0000080671,na,Asteraceae,herb,NA,NA,NA,no,3000
Cirsium arvense,http://www.worldfloraonline.org/taxon/wfo-0000006870,na,Asteraceae,herb,NA,NA,NA,no,3000
Cirsium oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000063143,na,Asteraceae,herb,NA,NA,NA,no,5415
Cirsium vulgare,http://www.worldfloraonline.org/taxon/wfo-0000081703,na,Asteraceae,herb,NA,NA,NA,no,3500
Clinopodium vulgare,http://www.worldfloraonline.org/taxon/wfo-0000893535,na,Lamiaceae,herb,NA,NA,NA,no,6110
Colchicum autumnale,http://www.worldfloraonline.org/taxon/wfo-0000763824,na,Colchicaceae,herb,NA,NA,NA,no,5400
Convolvulus arvensis,http://www.worldfloraonline.org/taxon/wfo-0001296633,na,Convolvulaceae,herb,NA,NA,NA,no,3611
Cornus controversa,http://www.worldfloraonline.org/taxon/wfo-0000924640,Cornus_sanguinea,Cornaceae,shrub,NA,NA,NA,no,0
Corylus avellana,http://www.worldfloraonline.org/taxon/wfo-0000925259,NA,Betulaceae,shrub,NA,NA,NA,no,0
Cota tinctoria,http://www.worldfloraonline.org/taxon/wfo-0000076814,Anthemis_tinctoria,Asteraceae,herb,NA,NA,NA,no,3611
Crataegus monogyna,http://www.worldfloraonline.org/taxon/wfo-0001009785,NA,Rosaceae,shrub,NA,NA,NA,no,0
Crepis biennis,http://www.worldfloraonline.org/taxon/wfo-0000061510,na,Asteraceae,herb,NA,NA,NA,no,5421
Crepis capillaris,http://www.worldfloraonline.org/taxon/wfo-0000030643,na,Asteraceae,herb,NA,NA,NA,no,5423
Cyanus segetum,http://www.worldfloraonline.org/taxon/wfo-0000071996,Centaurea_cyanus,Asteraceae,herb,NA,V,NA,no,3420
Cynodon dactylon,http://www.worldfloraonline.org/taxon/wfo-0000861178,na,Poaceae,sub-grass,NA,NA,NA,yes,3711
Cynosurus cristatus,http://www.worldfloraonline.org/taxon/wfo-0000861316,na,Poaceae,sub-grass,NA,NA,NA,no,5423
Dactylis glomerata,http://www.worldfloraonline.org/taxon/wfo-0000861498,na,Poaceae,top-grass,NA,NA,NA,no,NA
Daucus carota,http://www.worldfloraonline.org/taxon/wfo-0000638442,na,Apiaceae,herb,NA,NA,NA,no,3542
Deschampsia cespitosa,http://www.worldfloraonline.org/taxon/wfo-0000862467,na,Poaceae,top-grass,NA,NA,NA,no,NA
Dianthus carthusianorum,http://www.worldfloraonline.org/taxon/wfo-0000643249,na,Caryophyllaceae,herb,BG,V,NA,no,5320
Dianthus deltoides,http://www.worldfloraonline.org/taxon/wfo-0000643427,na,Caryophyllaceae,herb,BG,V,NA,no,5112
Dipsacus fullonum,http://www.worldfloraonline.org/taxon/wfo-0000651022,na,Caprifoliaceae,herb,NA,NA,NA,no,3500
Echium vulgare,http://www.worldfloraonline.org/taxon/wfo-0000663145,na,Boraginaceae,herb,NA,NA,NA,no,3542
Elymus repens,http://www.worldfloraonline.org/taxon/wfo-0000866643,Agropyron_repens,Poaceae,top-grass,NA,NA,NA,no,3610
Equisetum arvense,http://www.worldfloraonline.org/taxon/wfo-0001108914,na,Equisetaceae,herb,NA,NA,NA,no,NA
Erigeron annuus,http://www.worldfloraonline.org/taxon/wfo-0000069875,na,Asteraceae,herb,NA,NA,NA,yes,3500
Erophila verna,http://www.worldfloraonline.org/taxon/wfo-0000677261,Draba_verna,Brassicaceae,herb,BG,NA,NA,no,5200
Euonymus europaeus,http://www.worldfloraonline.org/taxon/wfo-0000681728,NA,Celastraceae,shrub,NA,NA,NA,no,0
Euphorbia cyparissias,http://www.worldfloraonline.org/taxon/wfo-0000961626,na,Euphorbiaceae,herb,NA,NA,NA,no,5300
Euphorbia esula,http://www.worldfloraonline.org/taxon/wfo-0000961974,na,Euphorbiaceae,herb,NA,NA,3,no,NA
Euphorbia verrucosa,http://www.worldfloraonline.org/taxon/wfo-0000965311,na,Euphorbiaceae,herb,NA,V,NA,no,5322
Falcaria vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000685760,na,Apiaceae,herb,NA,NA,NA,no,3611
Festuca arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000869819,na,Poaceae,top-grass,NA,NA,NA,no,3811
Festuca ovina,http://www.worldfloraonline.org/taxon/wfo-0000871222,na,Poaceae,sub-grass,NA,NA,NA,no,NA
Festuca pratensis,http://www.worldfloraonline.org/taxon/wfo-0000871673,na,Poaceae,top-grass,NA,NA,NA,no,5400
Festuca rubra,http://www.worldfloraonline.org/taxon/wfo-0000871854,na,Poaceae,sub-grass,NA,NA,NA,no,5400
Filipendula ulmaria,http://www.worldfloraonline.org/taxon/wfo-0000983427,na,Rosaceae,herb,NA,NA,NA,no,5412
Filipendula vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000999867,na,Rosaceae,herb,NA,3,3,no,8423
Foeniculum vulgare,http://www.worldfloraonline.org/taxon/wfo-0000691487,NA,Apiaceae,herb,NA,NA,NA,no,0
Fragaria vesca,http://www.worldfloraonline.org/taxon/wfo-0000993770,na,Rosaceae,herb,NA,NA,NA,no,6200
Fragaria viridis,http://www.worldfloraonline.org/taxon/wfo-0001007688,NA,Rosaceae,herb,NA,NA,NA,no,0
Galium mollugo,http://www.worldfloraonline.org/taxon/wfo-0000969499,na,Rubiaceae,herb,NA,D,NA,no,5421
Galium verum,http://www.worldfloraonline.org/taxon/wfo-0000970562,na,Rubiaceae,herb,NA,NA,NA,no,5300
Geranium dissectum,http://www.worldfloraonline.org/taxon/wfo-0000700368,na,Geraniaceae,herb,NA,NA,NA,no,3311
Geranium molle,http://www.worldfloraonline.org/taxon/wfo-0000700868,na,Geraniaceae,herb,NA,NA,NA,no,5423
Geranium pratense,http://www.worldfloraonline.org/taxon/wfo-0000701108,na,Geraniaceae,herb,NA,NA,NA,no,5421
Geranium pusillum,http://www.worldfloraonline.org/taxon/wfo-0000701157,na,Geraniaceae,herb,NA,NA,NA,no,3300
Geranium pyrenaicum,http://www.worldfloraonline.org/taxon/wfo-0000701169,na,Geraniaceae,herb,NA,NA,NA,yes,3500
Geum urbanum,http://www.worldfloraonline.org/taxon/wfo-0001013476,na,Rosaceae,herb,NA,NA,NA,no,8430
Glechoma hederacea,http://www.worldfloraonline.org/taxon/wfo-0000972872,na,Lamiaceae,herb,NA,NA,NA,no,3530
Helianthemum nummularium,http://www.worldfloraonline.org/taxon/wfo-0000717621,na,Cistaceae,herb,NA,3,3,no,5300
Helictotrichon pubescens,http://www.worldfloraonline.org/taxon/wfo-0000873950,Avenochloa_pubescens,Poaceae,top-grass,NA,NA,NA,no,5420
Heracleum sphondylium,http://www.worldfloraonline.org/taxon/wfo-0000720220,na,Apiaceae,herb,NA,NA,NA,no,5420
Hippocrepis comosa,http://www.worldfloraonline.org/taxon/wfo-0000213796,na,Fabaceae,legume,NA,V,NA,no,5320
Holcus lanatus,http://www.worldfloraonline.org/taxon/wfo-0000874509,na,Poaceae,sub-grass,NA,NA,NA,no,5400
Hypericum perforatum,http://www.worldfloraonline.org/taxon/wfo-0000728093,na,Hypericaceae,herb,NA,NA,NA,no,6100
Hypochaeris radicata,http://www.worldfloraonline.org/taxon/wfo-0000074809,na,Asteraceae,herb,NA,NA,NA,no,5000
Jacobaea vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000031875,Senecio_jacobaea,Asteraceae,herb,NA,NA,NA,no,5423
Juglans regia,http://www.worldfloraonline.org/taxon/wfo-0000355051,NA,Juglandaceae,tree,NA,NA,NA,no,0
Knautia arvensis,http://www.worldfloraonline.org/taxon/wfo-0000356720,na,Caprifoliaceae,herb,NA,NA,NA,no,5420
