species	1nograz.1	1nograz.2	1nograz.3	1nograz.4	1highgraz.1	1highgraz.2	1highgraz.3	1highgraz.4	1littlegraz.1	1littlegraz.2	1littlegraz.3	1littlegraz.4	2nograz.1	2nograz.2	2nograz.3	2nograz.4	2highgraz.1	2highgraz.2	2highgraz.3	2highgraz.4	2littlegraz.1	2littlegraz.2	2littlegraz.3	2littlegraz.4	3nograz.1	3nograz.2	3nograz.3	3nograz.4	3highgraz.1	3highgraz.2	3highgraz.3	3highgraz.4	3littlegraz.1	3littlegraz.2	3littlegraz.3	3littlegraz.4	4nograz.1	4nograz.2	4nograz.3	4nograz.4	4highgraz.1	4highgraz.2	4highgraz.3	4highgraz.4	4littlegraz.1	4littlegraz.2	4littlegraz.3	4littlegraz.4	5nograz.1	5nograz.2	5nograz.3	5nograz.4	5highgraz.1	5highgraz.2	5highgraz.3	5highgraz.4	5littlegraz.1	5littlegraz.2	5littlegraz.3	5littlegraz.4
Heliorig	0	0	71	0	0	0	46	0	0	0	65	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helisede	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	33	27	98	94	81	75	67	90	50	35	56	68	69	69	92	86	85	96	15	58	33	0
Helistoe	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helisyri	0	0	0	42	0	1	0	0	6	8	10	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hierlact	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	25	50	18	5	0	10	10	4
Hiermuro	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	36	0	0	0	0	0	0	22	0	0	0	52	93	0	2	1	0	0	0	2	2	3	7
Hierpilo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	1	0	0	0	0	0	0	62	6	48	89	17	70	14	1	0	0	0	0	0	0	0	0	0	0	0	0
Hippcomo	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	4	1	0	0	0	5	0	0	0	0	0	0	0	0	58	50	0	0	0	0	0	3	0	0	0	88	8	0	22	32
Hordmuri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Junicomm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	21	0	0	20	4	1	3	59	61	18	0	4	10	81	90	1	20	20	17	1	7	82	98
Junioxic	0	0	0	0	0	0	0	0	25	4	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	0	48	25	1	2	31	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Juniphoe	4	10	0	4	19	9	0	0	3	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Knauarve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	39	0	0	0	0	26	14	83	0	0	0	0	45	2	30	0	0	0	24	6	0	0	0	0	0	0	0	0	0	0	0	0
Knaudips	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22	2	15	2	2	0	0	36	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0
