species	veget	PH	TLA	SM	SLA	SLS	LH	P	LS	CGO	BB.D	BB.S
Leucanthemum_vulgare_agg.	4	0.457	669.6666667	0.353883333	19.27325189	2	pc	4	0.13	1	4.75	20
Leucojum_aestivum	1	0.4775	7415	NA	24.9	1	pc	3.333333334	0.005	2.5	6	5
Lilium_bulbiferum	3	0.6	461	7.4	18.43	1	pc	2.25	0.005	7.499999997	6	15
Linaria_vulgaris	4	0.418333333	105.3945	0.138	19.98333333	1	pc	3.75	0.214615385	2.42857143	9.183895539	34.54887218
Luzula_luzulina	3	0.14	NA	NA	NA	2	pc	4	0.088333333	3.25	4.75	20
Lysimachia_thyrsiflora	5	0.418333333	1613.75	NA	38.09	1	pc	1	0.13	6	4.75	20
Melica_altissima	3	1.1	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Mimulus_guttatus	4	0.36	2084.0625	0.01625	47.58	2	pc	2	0.13	1	1	5
Molinia_caerulea_s.lat.	3	0.78875	1286.625	0.59255	19.637	1	pc	3.666666666	0.022857143	1.833333335	4.795180722	14.82142857
Ononis_arvensis	1	0.5	NA	NA	NA	NA	pnc	NA	NA	NA	3.5	30
Ornithogalum_brevistylum	1	0.65	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Ornithogalum_umbellatum	4	0.2	725	NA	13.2	1	pc	2.333333333	0.005	3.5	6	15
Persicaria_hydropiper	1	0.381666667	1407.6892	2.3346	41.06666667	1	a	NA	NA	NA	NA	0
Petasites_hybridus	5	0.5775	139875	0.20426	22.04	2	pc	3.75	0.249375	0.8125	6.8	25
Peucedanum_cervaria	1	0.3775	28881.5	4.34	10.56	2	pnc	NA	NA	NA	5.880000002	20.83333334
Phleum_bertolonii	4	0.45	NA	NA	NA	2	pc	4	0.005	1	4.75	20
Phleum_pratense	4	0.3705	380	0.446	25.08674373	2	pc	4	0.005	1	3.5	10
Phlomis_tuberosa	3	0.9775	NA	NA	NA	2	pc	4	0.005	1	4.333333333	15
Phyllitis_scolopendrium	4	0.375	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Physalis_alkekengi	5	0.6275	NA	NA	33.99	1	pc	4	0.13	6	4.75	20
Poa_badensis	3	0.1	NA	NA	NA	2	pc	4	0.005	6	4.125	13.33333333
Poa_pratensis_s.lat.	4	0.3	1025	0.246	21.19270622	2	pc	4	0.0675	3.5	4.75	20
Polygonatum_odoratum	4	0.3	2270	27.90866667	32.86640685	1	pc	4	0.109166667	1	5.6875	16
Potentilla_anserina	5	0.130833333	6700.333333	0.658	23.06839302	1	pc	2.411764705	0.238588235	3.59375	7.464354528	47.18181819
Potentilla_inclinata	1	0.25	NA	0.31	NA	NA	pnc	NA	NA	NA	4.75	20
Potentilla_supina	1	0.25	NA	0.0735	NA	1	a	NA	NA	NA	3.777777778	11.25
