name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology,l,t,k,f,fchange,r,n
Campanula_rotundifolia,http://www.worldfloraonline.org/taxon/wfo-0000828550,na,Campanulaceae,herb,NA,NA,NA,no,NA,7,5,NA,NA,NA,NA,2
Campanula_trachelium,http://www.worldfloraonline.org/taxon/wfo-0000829176,na,Campanulaceae,herb,NA,NA,NA,no,8430,4,NA,3,6,NA,8,8
Capsella_bursa-pastoris,http://www.worldfloraonline.org/taxon/wfo-0000585589,na,Brassicaceae,herb,NA,NA,NA,no,3300,7,NA,NA,5,NA,NA,6
Carduus_acanthoides,http://www.worldfloraonline.org/taxon/wfo-0000114356,na,Asteraceae,herb,NA,NA,NA,no,3540,9,5,6,4,NA,8,7
Carex_acutiformis,http://www.worldfloraonline.org/taxon/wfo-0000344201,na,Cyperaceae,sedge,NA,NA,NA,no,NA,7,NA,3,9,1,7,5
Carex_caryophyllea,http://www.worldfloraonline.org/taxon/wfo-0000345352,na,Cyperaceae,sedge,NA,V,NA,no,5320,8,NA,3,4,NA,NA,2
Carex_digitata,http://www.worldfloraonline.org/taxon/wfo-0000346034,na,Cyperaceae,sedge,NA,NA,NA,no,8400,3,NA,4,5,NA,NA,4
Carex_flacca,http://www.worldfloraonline.org/taxon/wfo-0000346645,na,Cyperaceae,sedge,NA,NA,NA,no,NA,7,NA,3,6,1,8,NA
Carex_hirta,http://www.worldfloraonline.org/taxon/wfo-0000347452,na,Cyperaceae,sedge,NA,NA,NA,no,3810,7,6,3,6,1,NA,5
Carex_montana,http://www.worldfloraonline.org/taxon/wfo-0000348977,na,Cyperaceae,sedge,NA,NA,NA,no,NA,5,NA,4,4,NA,6,3
Carex_muricata,http://www.worldfloraonline.org/taxon/wfo-0000349075,na,Cyperaceae,sedge,NA,NA,NA,no,6210,7,6,3,4,NA,NA,6
Carex_panicea,http://www.worldfloraonline.org/taxon/wfo-0000349728,na,Cyperaceae,sedge,NA,V,NA,no,1700,8,NA,3,8,1,NA,4
Carex_praecox_ssp_curvata,http://www.worldfloraonline.org/taxon/wfo-0000350214,Carex_curvata,Cyperaceae,sedge,NA,D,3,no,3611,NA,NA,NA,NA,NA,NA,NA
Carex_praecox_ssp_praecox,http://www.worldfloraonline.org/taxon/wfo-0000350207,Carex_praecox,Cyperaceae,sedge,NA,V,3,no,3611,9,6,6,3,1,NA,4
Carex_sylvatica,http://www.worldfloraonline.org/taxon/wfo-0000351795,na,Cyperaceae,sedge,NA,NA,NA,no,8430,2,5,3,5,NA,6,5
Carum_carvi,http://www.worldfloraonline.org/taxon/wfo-0000588460,na,Apiaceae,herb,NA,NA,NA,no,5420,8,4,5,5,NA,NA,6
Centaurea_jacea,http://www.worldfloraonline.org/taxon/wfo-0000095537,na,Asteraceae,herb,NA,NA,NA,no,5000,7,NA,5,NA,NA,NA,NA
Centaurea_scabiosa,http://www.worldfloraonline.org/taxon/wfo-0000013986,na,Asteraceae,herb,NA,NA,NA,no,5300,7,NA,3,3,NA,8,4
Centaurea_stoebe,http://www.worldfloraonline.org/taxon/wfo-0000021390,na,Asteraceae,herb,NA,NA,3,no,NA,NA,NA,NA,NA,NA,NA,NA
Centaurium_erythraea,http://www.worldfloraonline.org/taxon/wfo-0000593916,na,Gentianaceae,herb,BG,NA,NA,no,6210,8,6,5,5,NA,6,6
Cerastium_arvense,http://www.worldfloraonline.org/taxon/wfo-0000595158,na,Caryophyllaceae,herb,NA,NA,NA,no,NA,8,NA,5,4,NA,6,4
Cerastium_fontanum_ssp_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000595577,Cerastium_holosteoides,Caryophyllaceae,herb,NA,NA,NA,no,5400,6,NA,NA,5,NA,NA,5
Cerastium_glomeratum,http://www.worldfloraonline.org/taxon/wfo-0000595603,na,Caryophyllaceae,herb,NA,NA,NA,no,3000,7,5,3,5,NA,5,5
Chaerophyllum_bulbosum,http://www.worldfloraonline.org/taxon/wfo-0000598957,na,Apiaceae,herb,NA,NA,NA,no,3531,7,6,5,7,NA,8,8
Chenopodium_album,http://www.worldfloraonline.org/taxon/wfo-0000600897,na,Amaranthaceae,herb,NA,NA,NA,no,3300,NA,NA,NA,4,NA,NA,7
Cichorium_intybus,http://www.worldfloraonline.org/taxon/wfo-0000080671,na,Asteraceae,herb,NA,NA,NA,no,3000,9,6,5,4,NA,8,5
Cirsium_arvense,http://www.worldfloraonline.org/taxon/wfo-0000006870,na,Asteraceae,herb,NA,NA,NA,no,3000,8,5,NA,NA,NA,NA,7
Cirsium_oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000063143,na,Asteraceae,herb,NA,NA,NA,no,5415,6,NA,3,7,NA,8,5
Cirsium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000081703,na,Asteraceae,herb,NA,NA,NA,no,3500,8,5,3,5,NA,7,8
Clinopodium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000893535,na,Lamiaceae,herb,NA,NA,NA,no,6110,7,NA,3,4,NA,7,3
Colchicum_autumnale,http://www.worldfloraonline.org/taxon/wfo-0000763824,na,Colchicaceae,herb,NA,NA,NA,no,5400,6,5,2,6,1,7,NA
Convolvulus_arvensis,http://www.worldfloraonline.org/taxon/wfo-0001296633,na,Convolvulaceae,herb,NA,NA,NA,no,3611,7,6,4,NA,7,NA,
Cornus_controversa,http://www.worldfloraonline.org/taxon/wfo-0000924640,Cornus_sanguinea,Cornaceae,shrub,NA,NA,NA,no,0,7,5,4,5,NA,7,NA
Corylus_avellana,http://www.worldfloraonline.org/taxon/wfo-0000925259,NA,Betulaceae,shrub,NA,NA,NA,no,0,6,5,3,NA,NA,NA,5
Cota_tinctoria,http://www.worldfloraonline.org/taxon/wfo-0000076814,Anthemis_tinctoria,Asteraceae,herb,NA,NA,NA,no,3611,8,6,5,3,NA,6,4
Crataegus_monogyna,http://www.worldfloraonline.org/taxon/wfo-0001009785,NA,Rosaceae,shrub,NA,NA,NA,no,0,7,5,3,4,NA,8,4
Crepis_biennis,http://www.worldfloraonline.org/taxon/wfo-0000061510,na,Asteraceae,herb,NA,NA,NA,no,5421,7,5,3,5,NA,6,5
Crepis_capillaris,http://www.worldfloraonline.org/taxon/wfo-0000030643,na,Asteraceae,herb,NA,NA,NA,no,5423,7,6,2,5,NA,6,4
Cyanus_segetum,http://www.worldfloraonline.org/taxon/wfo-0000071996,Centaurea_cyanus,Asteraceae,herb,NA,V,NA,no,3420,7,6,5,NA,NA,NA,NA
Cynodon_dactylon,http://www.worldfloraonline.org/taxon/wfo-0000861178,na,Poaceae,sub-grass,NA,NA,NA,yes,3711,8,7,3,4,NA,NA,5
Cynosurus_cristatus,http://www.worldfloraonline.org/taxon/wfo-0000861316,na,Poaceae,sub-grass,NA,NA,NA,no,5423,8,5,3,5,NA,NA,4
Dactylis_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000861498,na,Poaceae,top-grass,NA,NA,NA,no,NA,7,NA,3,5,NA,NA,6
Daucus_carota,http://www.worldfloraonline.org/taxon/wfo-0000638442,na,Apiaceae,herb,NA,NA,NA,no,3542,8,6,5,4,NA,NA,4
Deschampsia_cespitosa,http://www.worldfloraonline.org/taxon/wfo-0000862467,na,Poaceae,top-grass,NA,NA,NA,no,NA,6,NA,NA,7,1,NA,3
Dianthus_carthusianorum,http://www.worldfloraonline.org/taxon/wfo-0000643249,na,Caryophyllaceae,herb,BG,V,NA,no,5320,8,5,4,3,NA,7,2
Dianthus_deltoides,http://www.worldfloraonline.org/taxon/wfo-0000643427,na,Caryophyllaceae,herb,BG,V,NA,no,5112,8,5,4,3,NA,3,2
Dipsacus_fullonum,http://www.worldfloraonline.org/taxon/wfo-0000651022,na,Caprifoliaceae,herb,NA,NA,NA,no,3500,9,6,3,6,1,8,7
Echium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000663145,na,Boraginaceae,herb,NA,NA,NA,no,3542,9,6,3,4,NA,8,4
Elymus_repens,http://www.worldfloraonline.org/taxon/wfo-0000866643,Agropyron_repens,Poaceae,top-grass,NA,NA,NA,no,3610,7,6,7,NA,1,NA,7
Equisetum_arvense,http://www.worldfloraonline.org/taxon/wfo-0001108914,na,Equisetaceae,herb,NA,NA,NA,no,NA,6,NA,NA,6,1,NA,3
Erigeron_annuus,http://www.worldfloraonline.org/taxon/wfo-0000069875,na,Asteraceae,herb,NA,NA,NA,yes,3500,7,6,NA,6,NA,NA,8
Erophila_verna,http://www.worldfloraonline.org/taxon/wfo-0000677261,Draba_verna,Brassicaceae,herb,BG,NA,NA,no,5200,8,6,3,NA,NA,NA,2
Euonymus_europaeus,http://www.worldfloraonline.org/taxon/wfo-0000681728,NA,Celastraceae,shrub,NA,NA,NA,no,0,6,5,3,5,no,8,5
Euphorbia_cyparissias,http://www.worldfloraonline.org/taxon/wfo-0000961626,na,Euphorbiaceae,herb,NA,NA,NA,no,5300,8,NA,4,3,NA,NA,3
Euphorbia_esula,http://www.worldfloraonline.org/taxon/wfo-0000961974,na,Euphorbiaceae,herb,NA,NA,3,no,NA,8,6,5,4,NA,8,NA
Euphorbia_verrucosa,http://www.worldfloraonline.org/taxon/wfo-0000965311,na,Euphorbiaceae,herb,NA,V,NA,no,5322,8,6,2,3,NA,9,3
Falcaria_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000685760,na,Apiaceae,herb,NA,NA,NA,no,3611,7,7,6,3,NA,9,NA
Festuca_arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000869819,na,Poaceae,top-grass,NA,NA,NA,no,3811,8,5,NA,7,1,7,4
Festuca_ovina,http://www.worldfloraonline.org/taxon/wfo-0000871222,na,Poaceae,sub-grass,NA,NA,NA,no,NA,9,7,4,2,NA,NA,1
Festuca_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000871673,na,Poaceae,top-grass,NA,NA,NA,no,5400,8,NA,3,6,NA,NA,6
Festuca_rubra,http://www.worldfloraonline.org/taxon/wfo-0000871854,na,Poaceae,sub-grass,NA,NA,NA,no,5400,NA,NA,NA,NA,NA,NA,NA
Filipendula_ulmaria,http://www.worldfloraonline.org/taxon/wfo-0000983427,na,Rosaceae,herb,NA,NA,NA,no,5412,7,5,NA,8,NA,NA,4
