name,8,13,14,23,26,34,38,39,47,49,50,51,52,54,57,67,68,71,73,74,83,89,92,94,96,105,109,110,115,120,123,133,137,139,144,149,156,157,161,162,169,182,183,194,198,201,223,231,237,244,247,254,262,266,269,270,281,291,305,314,315,317,324,325,333,340,341,343,346,356,359,373,377,378,389,393,395,397
Homogyne alpina,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,3,0,3,3,0.5,0.5,0.5,3,0.5,0,0.5,0,3,3,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,3,0,0.5,0.5
Hordelymus europaeus,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,3,0.5,0,0,0,0.5,3,0.5,3,3,3,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,3,0,0,3,0,0,0.5,0,0,0.5,0,0
Huperzia selago,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0
Impatiens noli-tangere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,3,0,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knautia dipsacifolia,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0.5,3,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,3,0.5,0.5,0,0,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0,3,0,0.5,0.5
Lamiastrum mont.+ flavidum,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,3,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,3,0,0,0,0,0.5,3,0.5,0,0.5,0.5,0.5,0,0.5,0,3,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,3,0,0.5,0.5,0,3,3,3,0,0,0,0,0,0.5,0,0,3,0,3,0,0
Leontodon hispidus,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,10,0.5,0,3,0,0.5,0,0,0,3,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Lilium martagon,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0
Lonicera alpigena,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5
Lonicera xylosteum,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0
Luzula luzulina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Luzula sylvatica sieberi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,3,0.5,0,0,0,0,0.5,10,0,0,10,0,0,0,0.5,0,3,10,10,0.5,0.5,3,62.5,0,10,0.5,62.5,0.5,10,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,3,3,0,0,0.5,0
Lycopodium annotinum,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,10,3,0.5,0,0.5,3,10,37.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Lysimachia nemorum,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,3,0.5,0,0,0,0.5,0,3,0,0.5,0,0.5,0,0,0.5,0,0.5,0.5,0,3,3,0,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,0.5,3,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,3,0,0,0,0.5,3,3,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
Maianthemum bifolium,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,3,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,3,0,0,0,0,0,0,0,3,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0.5,0.5
Melampyrum sylvaticum,3,3,0.5,3,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,3,0.5,0,0,10,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0.5,0,0.5,0,0.5,0
