"sla" "height" "sm" "log_sla" "log_height" "log_sm"
"Rubus ulmifolius" 11.91 1.25 2.5804 2.47737838336721 0.22314355131421 0.94794442567595
"Silene chlorantha" 11.92 0.1 NA 2.4782176616372 -2.30258509299405 NA
"Salix viminalis" 11.92917108 3.833333333 NA 2.47898675171763 1.34373474661414 NA
"Carex rupestris" 11.99 0.075 NA 2.48407296903942 -2.59026716544583 NA
"Eriophorum vaginatum" 11.99403703 0.425 0.866266667 2.48440961211857 -0.85566611005772 -0.143562488259078
"Rosa micrantha" 12 1.5275 141.8181024 2.484906649788 0.423632412063613 4.95454526744505
"Rosa elliptica" 12.06 1.5 NA 2.48989419129904 0.405465108108164 NA
"Athyrium filix-femina" 12.1 0.65 NA 2.4932054526027 -0.430782916092454 NA
"Rosa canina" 12.25774011 1.666666667 281.044625 2.50615758317456 0.510825623965991 5.6385134645543
"Alyssum montanum" 12.27 0.085 0.6 2.50715725872282 -2.46510402249182 -0.510825623765991
"Spiraea alba" 12.31830239 NA NA 2.51108615559156 NA NA
"Polypodium vulgare" 12.35 0.3 NA 2.51365606307399 -1.20397280432594 NA
"Bolboschoenus maritimus" 12.36 0.65 3.1170625 2.51446545202954 -0.430782916092454 1.13689105191558
"Acer monspessulanum" 12.36666667 11 NA 2.51500468121482 2.39789527279837 NA
"Cirsium acaule" 12.37833333 0.14 3.752 2.51594763218386 -1.96611285637283 1.32228903114398
"Vaccinium macrocarpon" 12.4 0.6 0.762333333 2.51769647261099 -0.510825623765991 -0.27137137406472
"Asplenium ruta-muraria" 12.43333333 0.09 NA 2.52038103771356 -2.40794560865187 NA
"Carex aquatilis" 12.48239274 1 0.50915 2.52431907052575 0 -0.675012610364463
"Carex dioica" 12.48666667 0.1 0.551566667 2.52466140861478 -2.30258509299405 -0.594992564548109
"Hippophae rhamnoides" 12.5 2.666666667 60.77254 2.52572864430826 0.980829253136726 4.10713804221308
"Potentilla tabernaemontani" 12.53 0.091666667 0.6099375 2.52812576890798 -2.38959646634731 -0.494398786080457
"Salix starkeana" 12.56367647 0.45 NA 2.5308098307877 -0.798507696217772 NA
"Scabiosa atropurpurea" 12.57333333 0.5 0.84 2.53157816883204 -0.693147180559945 -0.174353387144778
"Quercus petraea" 12.576 36.14444444 974.7 2.53179023568685 3.58752325602012 6.88212973134316
"Carex arenaria" 12.57666667 0.375 0.855642105 2.53184324557315 -0.980829253011726 -0.155903091904768
"Rhynchospora fusca" 12.58 0.2 0.513888889 2.53210825127229 -1.6094379124341 -0.665748206155615
"Koeleria glauca" 12.665 0.085 0.172 2.53884228345364 -2.46510402249182 -1.76026080216868
"Littorella uniflora" 12.67333333 0.095 0.8245 2.53950004812915 -2.3538783873816 -0.192978136982483
"Aster laevis" 12.714 0.75 0.523 2.54270374851422 -0.287682072451781 -0.648173814917214
"Geum montanum" 12.77790056 0.14 1.762 2.54771716002434 -1.96611285637283 0.566449527513988
"Sedum spurium" 12.79 0.125 0.09 2.54866361559075 -2.07944154167984 -2.40794560865187
"Carex capillaris" 12.8 0.1 0.568571429 2.54944517092557 -2.30258509299405 -0.564628329005198
"Anaphalis margaritacea" 12.8 NA 0.02 2.54944517092557 NA -3.91202300542815
"Laserpitium prutenicum" 12.81 0.355 4.459 2.55022611590864 -1.03563748950672 1.49492452564534
"Rosa mollis" 12.82051282 0.55 14.9693 2.55104645225255 -0.59783700075562 2.7060014371512
"Gentianella germanica" 12.83333333 0.156666667 0.18052 2.55204595236589 -1.85363487081848 -1.71191370402334
"Cotoneaster integerrimus" 12.84664794 1.15 76.049 2.55308291661077 0.139761942375159 4.33137786937493
"Betula nana" 12.93214656 0.685 0.199588889 2.55971619292609 -0.378336440719912 -1.61149558298687
"Silene otites" 12.94 0.291666667 0.210666667 2.56032328907275 -1.23214368014978 -1.55747817192111
"Iris germanica" 12.95 0.45 NA 2.56109578814555 -0.798507696217772 NA
"Berberis vulgaris" 13.03157895 1.916666667 64.6408 2.56737556184594 0.650587566315062 4.16884579037388
"Falcaria vulgaris" 13.0375 0.425 0.93 2.56782982032689 -0.85566611005772 -0.0725706928348354
"Calamagrostis epigejos" 13.0475349 1 0.079733333 2.56859921937378 0 -2.52906754975437
"Helictotrichon versicolor" 13.1 0.14 NA 2.57261223020711 -1.96611285637283 NA
"Meum athamanticum" 13.18 0.235 7.372266667 2.57870052907436 -1.44816976483798 1.99772521210506
"Carex pendula" 13.3 0.5 0.721809091 2.58776403522771 -0.693147180559945 -0.325994591951129
"Carex capitata" 13.31705545 0.16 NA 2.58904557836206 -1.83258146374831 NA
"Ranunculus lingua" 13.32 0.8175 1.702366667 2.58926666511224 -0.201504376210729 0.532019439968798
"Cirsium eriophorum" 13.35 1.3 6.699333333 2.59151638484626 0.262364264467491 1.9020080189089
"Syringa vulgaris" 13.359 6 5.384545455 2.59219031500768 1.79175946922805 1.68353289757492
"Helianthemum apenninum" 13.4 0.133333333 1.307 2.59525470695687 -2.01490302304226 0.267734434642085
"Prunus avium" 13.45 12.24 390.0449714 2.59897910604785 2.50470927708418 5.96626204375791
"Fraxinus excelsior" 13.48551573 26.14285714 58.4213475 2.60161620057673 3.26357600367682 4.0676813624245
"Lonicera caerulea" 13.49527665 0.95 2.147 2.6023397464451 -0.0512932943875506 0.764071518896644
"Juncus tenuis" 13.49703399 0.4075 0.0185 2.60246995686138 -0.89771434630122 -3.98998454689786
"Rhamnus saxatilis" 13.5 0.6 10.53 2.60268968544438 -0.510825623765991 2.35422832614588
"Genista anglica" 13.56666667 0.3 2.063866667 2.60761580402614 -1.20397280432594 0.724581246210985
"Ranunculus reptans" 13.6 0.116666667 0.3778125 2.61006979274201 -2.14843441030964 -0.973357238173025
"Chenopodium urbicum" 13.61 0.38 0.3499 2.61080481666337 -0.967584026261706 -1.05010787960849
"Alcea rosea" 13.66 1.57 8.942666667 2.61447185414264 0.451075619360217 2.19083382960666
"Verbascum sinuatum" 13.66028521 NA 0.15 2.61449273313405 NA -1.89711998488588
"Aesculus hippocastanum" 13.7 20 7708.65 2.61739583283408 2.99573227355399 8.95009835394979
"Halimione pedunculata" 13.74 0.325 3.2322 2.6203112867942 -1.1239300966524 1.17316301993241
